Model_0: X:-43 Y:0 Z:117 R:0
Model_0: X:-43 Y:0 Z:21 R:0
Model_0: X:-91 Y:0 Z:69 R:309
Model_0: X:-43 Y:0 Z:-27 R:0
Model_0: X:-91 Y:0 Z:117 R:0
Model_0: X:-67 Y:0 Z:117 R:90
Model_0: X:-43 Y:0 Z:69 R:0
Model_0: X:-61 Y:0 Z:4 R:0
Model_0: X:-61 Y:0 Z:-14 R:0
Model_0: X:32 Y:0 Z:21 R:90
Model_0: X:54 Y:0 Z:21 R:90
Model_0: X:-90 Y:0 Z:20 R:0
Model_0: X:4 Y:0 Z:70 R:90
Model_0: X:29 Y:0 Z:70 R:90
Model_0: X:54 Y:0 Z:70 R:90
Model_0: X:4 Y:0 Z:119 R:90
Model_0: X:29 Y:0 Z:119 R:90
Model_0: X:54 Y:0 Z:119 R:90
Model_1: X:-91 Y:0 Z:92 R:179
Model_1: X:-43 Y:0 Z:93 R:318
Model_1: X:-69 Y:0 Z:95 R:75
Model_1: X:-92 Y:0 Z:-8 R:318
Model_1: X:-83 Y:0 Z:-24 R:249
Model_1: X:-67 Y:0 Z:-31 R:275
Model_1: X:-1 Y:0 Z:-28 R:0
Model_1: X:9 Y:0 Z:-28 R:0
Model_1: X:19 Y:0 Z:-28 R:0
Model_1: X:29 Y:0 Z:-28 R:0
Model_1: X:39 Y:0 Z:-28 R:0
Model_1: X:49 Y:0 Z:-28 R:0
Model_1: X:59 Y:0 Z:-28 R:0
Model_1: X:4 Y:0 Z:94 R:354
Model_1: X:52 Y:0 Z:95 R:134
Model_1: X:26 Y:0 Z:96 R:250
Model_2: X:-64 Y:0 Z:69 R:270
Model_2: X:-64 Y:0 Z:21 R:90
Model_2: X:8 Y:0 Z:20 R:270
